"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",0,"KINGSLEY","PL","",5,3,3,606,0,"6/04","","","Local","",12572861
"2",100,"ABERDEEN","TER","",6,2,4,530,22,"12/09","1988","O","Local","3",12581174
"3",100,"ACADEMY","PL","",6,4,2,588,28,"3/11","","O","Local","3",12576512
"4",100,"ACADEMY","ST","",8,4,5,325,25,"3/11","1996","O","Local","3",12571714
"5",100,"ADAMS","ST","E",7,3,4,176,64,"3/11","2000","F","Local","6",12577644
"6",100,"ADAMS","ST","W",8,4,5,352,64,"2/11","2000","F","Local","6",12573680
"7",100,"AINSLEY","DR","",6,4,3,411,26,"3/10","","F","CO","3",12576911
"8",100,"AINSLEY","DR","",6,4,3,411,26,"3/10","","F","CO","3",12576914
"9",100,"ALANSON","RD","",6,2,4,880,18,"3/11","2004","F","Local","6",12571891
"10",100,"ALANSON","RD","",6,2,4,880,18,"3/11","2004","F","Local","6",12572942
"11",100,"ALANSON","RD","",6,2,4,880,18,"3/11","2004","F","Local","6",12572940
"12",100,"ALBERT","RD","",3,2,2,327,27,"3/10","","O","Local","3",12578942
"13",100,"ALDEN","ST","",6,3,3,792,26,"3/10","1989","O","Local","3",12576956
"14",100,"ALEXANDER","AVE","",1,2,1,686,27,"3/10","","F","Local","4",12577333
"15",100,"ALMOND","ST","",4,2,3,150,54,"12/09","1993","F","Local","6",12578006
"16",100,"ALMOND","ST","",4,2,3,150,54,"12/09","1993","F","Local","6",12577993
"17",100,"ALTON","ST","",8,5,4,1050,25,"2/10","2002","O","Local","3",13002170
"18",100,"ALTON","ST","",8,5,4,1050,25,"2/10","2002","O","Local","3",13011484
"19",100,"ALVORD","ST","S",6,2,4,352,32,"2/11","1987","F","Local","6",12580079
"20",100,"AMES","AVE","",5,3,3,323,26,"2/10","","O","Local","3",12571734
"21",100,"AMHERST","AVE","",7,5,3,557,25,"3/10","2005","F","Local","4",12576881
"22",100,"AMIDON","DR","",5,2,3,250,27,"3/11","1994","F","Local","4",13002105
"23",100,"AMY","ST","",6,3,3,792,27,"2/10","1994","O","Local","3",12573417
"24",100,"ANDERSON","AVE","",8,3,5,1150,25,"3/10","1999","O","Local","3",12576600
"25",100,"ANDOVER","RD","",7,4,3,323,21,"3/10","","O","Local","3",12577527
"26",100,"ARCH","ST","",5,2,3,546,18,"1/11","2002","O","Local","3",12581146
"27",100,"ARCHER","RD","",6,3,4,845,28,"2/10","1999","O","Local","3",12572325
"28",100,"ARDEN","DR","",7,3,5,323,28,"3/10","2001","O","Local","3",12571869
"29",100,"ARDMORE","PL","",6,3,3,317,21,"12/09","1998","O","Local","3",12580665
"30",100,"ARDMORE","PL","",6,3,3,317,21,"12/09","1998","O","Local","3",12580667
"31",100,"ARGONNE","DR","",3,2,3,247,26,"2/11","1985","O","Local","3",12572899
"32",100,"ARGYLE","AVE","",5,2,5,175,22,"12/09","1989","O","Local","3",12580767
"33",100,"ARGYLE","TER","",8,3,5,360,25,"3/10","2005","F","Local","3",12573198
"34",100,"ARLINGTON","AVE","",3,2,2,350,36,"3/11","1994","F","Local","6",12572035
"35",100,"ARMSTRONG","PL","",7,3,5,1330,27,"2/10","1995","O","Local","3",12571903
"36",100,"ARNTS","PL","",5,3,3,686,28,"2/11","1998","O","Local","3",12575521
"37",100,"ARSENAL","DR","",5,2,4,495,18,"3/11","1996","O","Local","3",12576562
"38",100,"ASH","ST","",6,3,3,411,30,"2/11","1999","F","Local","6",12575114
"39",100,"ASHDALE","AVE","",3,2,2,716,27,"1/11","1988","O","Local","3",12581076
"40",100,"ASHWORTH","PL","",5,3,2,600,27,"3/10","1991","F","Local","6",12578137
"41",100,"ATKINSON","AVE","",7,4,3,739,23,"2/10","","O","Local","3",12572894
"42",100,"ATLANTIC","AVE","",7,4,2,NA,NA,"3/11","","O","Local","3",12576699
"43",100,"AUSTIN","AVE","",7,3,4,1637,23,"2/10","2003","O","Local","3",12572328
"44",100,"AVERY","AVE","S",5,3,4,455,36,"2/11","1996","F","CO","6",13010365
"45",100,"AVERY","AVE","S",5,3,4,455,36,"2/11","1996","F","CO","6",12572698
"46",100,"AVERY","AVE","S",5,3,4,455,36,"2/11","1996","F","CO","6",13010364
"47",100,"AVOCA","ST","",4,2,2,422,27,"2/11","","O","Local","3",12572709
"48",100,"AVON","RD","",5,3,3,685,28,"12/09","2001","O","Local","3",12581144
"49",100,"AVONDALE","PL","",5,2,1,561,25,"3/11","2002","F","Local","4",12577635
"50",100,"BAKER","AVE","",7,5,3,605,27,"310","1997","F","Local","6",12577267
"51",100,"BALDWIN","AVE","",7,4,2,1007,27,"3/11","1991","O","Local","3",12571994
"52",100,"BALL","CIR","",6,3,4,1031,26,"3/10","","O","Local","3",12576912
"53",100,"BALLANTYNE","RD","",9,5,5,805,31,"3/10","2004","F","Local","4",13028538
"54",100,"BALLANTYNE","RD","",9,5,5,805,31,"3/10","2004","F","Local","4",12576746
"55",100,"BALLARD","AVE","",2,2,1,375,NA,"3/11","","O","Local","3",12573229
"56",100,"BARKER","AVE","",4,2,5,178,30,"2/10","2001","O","Local","3",12573771
"57",100,"BARNES","AVE","",6,3,3,317,27,"3/11","1991","O","Local","3",12571902
"58",100,"BARNES","AVE","",6,3,3,317,27,"3/11","1991","O","Local","3",12571901
"59",100,"BARRINGTON","RD","",5,2,4,411,30,"3/11","1996","O","Local","3",12579593
"60",100,"BASIN","ST","",7,4,2,455,30,"2/11","2004","F","Local","4",12575165
"61",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",13017590
"62",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",12578184
"63",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",12578207
"64",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",13017590
"65",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",12578184
"66",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",12578207
"67",100,"BEACON","RD","",6,3,5,264,28,"1/10","2001","F","Local","6",12581056
"68",100,"BEACON","RD","",6,3,5,264,28,"1/10","2001","F","Local","6",12581052
"69",100,"BEAR","ST","W",5,2,3,411,36,"2/10","","F","MA","6",12575203
"70",100,"BEAR","ST","W",5,2,3,411,36,"2/10","","F","MA","6",13001193
"71",100,"BEAR","ST","W",5,2,3,411,36,"2/10","","F","MA","6",12575201
"72",100,"BEARD","AVE","E",5,3,3,528,25,"3/10","1991","F","Local","6",12577247
"73",100,"BEARD","AVE","E",5,3,3,528,25,"3/10","1991","F","Local","6",12577248
"74",100,"BEARD","AVE","W",4,3,2,587,28,"3/11","1996","F","Local","6",12577235
"75",100,"BEARD","PL","",4,3,2,581,12,"3/10","1993","F","Local","4",12577242
"76",100,"BEATTIE","ST","",3,2,2,900,22,"3/11","1988","O","Local","6",12578829
