"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1","0","KINGSLEY","PL","",5,2,4,606,0,"4/15","","","Local","",12572861
"2","100","ABERDEEN","TER","",6,3,4,530,22,"4/14","1988","O","Local","3",12581174
"3","100","ACADEMY","PL","",6,4,2,588,28,"4/15","","O","Local","3",12576512
"4","100","ACADEMY","ST","",8,4,4,325,25,"4/15","1996","O","Local","3",12571714
"5","100","ADAMS","ST","E",10,5,5,176,64,"6/15","2015","F","Local","6",12577644
"6","100","ADAMS","ST","W",8,3,5,352,64,"4/14","2000","F","Local","6",12573680
"7","100","AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576914
"8","100","AINSLEY","DR","",6,3,2,411,26,"5/14","","F","CO","3",12576911
"9","100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12572940
"10","100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12571891
"11","100","ALANSON","RD","",5,2,5,880,18,"3/15","2004","F","Local","6",12572942
"12","100","ALBERT","RD","",4,2,4,327,27,"5/14","","O","Local","3",12578942
"13","100","ALDEN","ST","",5,2,3,792,26,"5/14","1989","O","Local","3",12576956
"14","100","ALEXANDER","AVE","",2,1,1,686,27,"5/14","","F","Local","4",12577333
"15","100","ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","Local","6",12577993
"16","100","ALMOND","ST","",5,3,2,150,54,"4/14","1993","F","Local","6",12578006
"17","100","ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","Local","3",13002170
"18","100","ALTON","ST","",6,3,3,1050,25,"4/14","2002","O","Local","3",13011484
"19","100","ALVORD","ST","S",5,2,3,352,32,"4/14","1987","F","Local","6",12580079
"20","100","AMES","AVE","",6,3,3,323,26,"6/14","","O","Local","3",12571734
"21","100","AMHERST","AVE","",7,4,3,557,25,"5/14","2005","F","Local","4",12576881
"22","100","AMIDON","DR","",4,3,1,250,27,"6/15","1994","F","Local","4",13002105
"23","100","AMY","ST","",8,4,4,792,27,"4/15","1994","O","Local","3",12573417
"24","100","ANDERSON","AVE","",6,3,4,1150,25,"5/14","1999","O","Local","3",12576600
"25","100","ANDOVER","RD","",6,3,5,323,21,"5/14","","O","Local","3",12577527
"26","100","ARCH","ST","",6,2,4,352,18,"4/15","2002","O","Local","3",12581146
"27","100","ARCHER","RD","",7,3,5,323,28,"3/14","2001","O","Local","3",12572325
"28","100","ARDEN","DR","",6,3,3,323,28,"4/14","2003","O","Local","3",12571869
"29","100","ARDMORE","PL","",4,2,4,247,26,"3/15","1985","O","Local","3",12580667
"30","100","ARDMORE","PL","",4,2,4,247,26,"3/15","1985","O","Local","3",12580665
"31","100","ARGONNE","DR","",4,3,3,175,22,"4/14","1989","O","Local","3",12572899
"32","100","ARGYLE","AVE","",3,2,3,360,25,"5/14","2005","F","Local","3",12580767
"33","100","ARGYLE","TER","",7,2,5,330,25,"","","F","Local","",12573198
"34","100","ARLINGTON","AVE","",4,2,2,500,36,"6/14","","F","Local","6",12572035
"35","100","ARMSTRONG","PL","",6,3,4,381,30,"5/15","1992","O","Local","3",12571903
"36","100","ARNTS","PL","",7,3,4,495,18,"6/15","1996","O","Local","3",12575521
"37","100","ARSENAL","DR","",4,2,2,323,26,"4/14","1994","O","Local","3",12576562
"38","100","ASH","ST","",5,3,3,381,30,"4/15","1999","F","Local","6",12575114
"39","100","ASHDALE","AVE","",6,3,4,716,27,"4/15","1988","O","Local","3",12581076
"40","100","ASHWORTH","PL","",4,3,2,600,27,"4/14","1991","F","Local","6",12578137
"41","100","ATKINSON","AVE","",7,3,5,739,23,"4/14","","O","Local","3",12572894
"42","100","ATLANTIC","AVE","",6,3,3,NA,NA,"4/15","","O","Local","3",12576699
"43","100","AUSTIN","AVE","",7,3,5,1637,23,"4/14","2003","O","Local","3",12572328
"44","100","AVERY","AVE","S",6,2,4,352,36,"4/15","1996","F","CO","6",13010364
"45","100","AVERY","AVE","S",6,2,4,352,36,"4/15","1996","F","CO","6",13010365
"46","100","AVERY","AVE","S",6,2,4,352,36,"4/15","1996","F","CO","6",12572698
"47","100","AVOCA","ST","",3,2,3,685,28,"4/14","2001","O","Local","3",12572709
"48","100","AVON","RD","",5,2,3,561,25,"6/15","2002","F","Local","4",12581144
"49","100","AVONDALE","PL","",6,4,3,605,27,"4/15","1997","F","Local","6",12577635
"50","100","BAKER","AVE","",7,4,4,NA,NA,"","","","Local","",12577267
"51","100","BALDWIN","AVE","",6,3,2,1007,27,"4/15","1991","O","Local","3",12571994
"52","100","BALL","CIR","",5,3,2,1031,26,"5/14","","O","Local","3",12576912
"53","100","BALLANTYNE","RD","",8,4,4,805,31,"5/14","2004","F","Local","4",13028538
"54","100","BALLANTYNE","RD","",8,4,4,805,31,"5/14","2004","F","Local","4",12576746
"55","100","BALLARD","AVE","",5,3,3,375,NA,"3/15","","O","Local","3",12573229
"56","100","BARKER","AVE","",5,2,4,178,30,"4/14","2001","O","Local","3",12573771
"57","100","BARNES","AVE","",5,3,3,317,27,"4/15","1991","O","Local","3",12571901
"58","100","BARNES","AVE","",5,3,3,317,27,"4/15","1991","O","Local","3",12571902
"59","100","BARRINGTON","RD","",6,3,3,411,30,"6/15","1996","O","Local","3",12579593
"60","100","BASIN","ST","",7,3,3,455,30,"4/15","2004","F","Local","4",12575165
"61","100","BASSETT","ST","",7,4,3,411,27,"6/15","2006","F","Local","3",12578184
"62","100","BASSETT","ST","",7,4,3,411,27,"6/15","2006","F","Local","3",12578207
"63","100","BASSETT","ST","",7,4,3,411,27,"6/15","2006","F","Local","3",13017590
"64","100","BASSETT","ST","",7,4,3,616,27,"6/15","2006","F","Local","3",12578184
"65","100","BASSETT","ST","",7,4,3,616,27,"6/15","2006","F","Local","3",12578207
"66","100","BASSETT","ST","",7,4,3,616,27,"6/15","2006","F","Local","3",13017590
"67","100","BEACON","RD","",7,3,4,264,28,"4/14","2001","F","Local","6",12581052
"68","100","BEACON","RD","",7,3,4,264,28,"4/14","2001","F","Local","6",12581056
"69","100","BEAR","ST","W",5,3,3,411,36,"4/14","","F","MA","6",12575203
"70","100","BEAR","ST","W",5,3,3,411,36,"4/14","","F","MA","6",12575201
"71","100","BEAR","ST","W",5,3,3,411,36,"4/14","","F","MA","6",13001193
