"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",100,"ABERDEEN","TER","",6,3,4,530,22,"1/02","1988","O","Local","3",12581174
"2",100,"ACADEMY","PL","",6,3,3,588,28,"1/01","","O","Local","3",12576512
"3",100,"ACADEMY","ST","",8,4,5,325,25,"1/01","1996","O","Local","3",12571714
"4",100,"ADAMS","ST","E",10,5,5,176,64,"1/01","2000","F","Local","6",12577644
"5",100,"ADAMS","ST","W",10,3,4,352,64,"1/01","2000","F","Local","6",12573680
"6",100,"AINSLEY","DR","",8,4,4,411,26,"1/02","","F","CO","3",12576914
"7",100,"AINSLEY","DR","",8,4,4,411,26,"1/02","","F","CO","3",12576911
"8",100,"ALANSON","RD","",3,1,3,880,18,"12/01","","F","Local","6",12571891
"9",100,"ALANSON","RD","",3,1,3,880,18,"12/01","","F","Local","6",12572942
"10",100,"ALANSON","RD","",3,1,3,880,18,"12/01","","F","Local","6",12572940
"11",100,"ALBERT","RD","",7,3,5,327,27,"1/02","","O","Local","3",12578942
"12",100,"ALDEN","ST","",6,3,4,792,26,"1/02","1989","O","Local","3",12576956
"13",100,"ALEXANDER","AVE","",4,2,3,686,27,"1/01","","F","Local","4",12577333
"14",100,"ALMOND","ST","",7,3,4,150,54,"1/02","1993","F","Local","6",12577993
"15",100,"ALMOND","ST","",7,3,4,150,54,"1/02","1993","F","Local","6",12578006
"16",100,"ALTON","ST","",5,3,3,1050,25,"12/01","","O","Local","3",13002170
"17",100,"ALTON","ST","",5,3,3,1050,25,"12/01","","O","Local","3",13011484
"18",100,"ALVORD","ST","S",6,2,4,352,32,"1/02","1987","F","Local","6",12580079
"19",100,"AMES","AVE","",7,3,4,323,26,"1/02","","O","Local","3",12571734
"20",100,"AMHERST","AVE","",5,2,3,557,25,"1/01","","F","Local","4",12576881
"21",100,"AMIDON","DR","",7,3,4,250,27,"1/01","1994","O","Local","4",13002105
"22",100,"AMY","ST","",7,3,4,792,27,"1/01","1994","O","Local","3",12573417
"23",100,"ANDERSON","AVE","",9,5,5,1150,25,"1/02","1999","O","Local","3",12576600
"24",100,"ANDOVER","RD","",8,4,5,323,21,"1/02","","O","Local","3",12577527
"25",100,"ARCH","ST","",6,3,4,546,18,"1/02","1989","O","Local","3",12581146
"26",100,"ARCHER","RD","",8,4,5,845,28,"12/01","1999","O","Local","3",12572325
"27",100,"ARDEN","DR","",10,5,5,323,28,"11/01","2001","O","Local","3",12571869
"28",100,"ARDMORE","PL","",8,4,4,317,21,"12/00","1998","O","Local","3",12580667
"29",100,"ARDMORE","PL","",8,4,4,317,21,"12/00","1998","O","Local","3",12580665
"30",100,"ARGONNE","DR","",5,3,3,247,26,"12/01","1985","O","Local","3",12572899
"31",100,"ARGYLE","AVE","",7,3,4,175,22,"1/02","1989","O","Local","3",12580767
"32",100,"ARGYLE","TER","",4,2,2,360,25,"1/02","1994","F","Local","3",12573198
"33",100,"ARLINGTON","AVE","",5,3,3,350,36,"1/01","1994","F","Local","6",12572035
"34",100,"ARMSTRONG","PL","",7,4,4,1330,27,"1/02","1995","O","Local","3",12571903
"35",100,"ARNTS","PL","",7,3,4,686,28,"12/00","1998","O","Local","3",12575521
"36",100,"ARSENAL","DR","",7,3,5,495,18,"1/01","1996","O","Local","3",12576562
"37",100,"ASH","ST","",9,5,5,411,30,"1/02","1999","F","Local","6",12575114
"38",100,"ASHDALE","AVE","",6,3,3,716,27,"1/02","1988","O","Local","3",12581076
"39",100,"ASHWORTH","PL","",7,4,3,600,27,"1/02","1991","F","Local","6",12578137
"40",100,"ATKINSON","AVE","",4,2,3,739,23,"12/01","","O","Local","3",12572894
"41",100,"ATLANTIC","AVE","",NA,NA,NA,NA,NA,"ntic","","","Local","3",12576699
"42",100,"AUSTIN","AVE","",6,3,3,1637,23,"12/01","1990","O","Local","3",12572328
"43",100,"AVERY","AVE","S",8,4,5,455,36,"1/01","1996","F","CO","6",13010364
"44",100,"AVERY","AVE","S",8,4,5,455,36,"1/01","1996","F","CO","6",13010365
"45",100,"AVERY","AVE","S",8,4,5,455,36,"1/01","1996","F","CO","6",12572698
"46",100,"AVOCA","ST","",5,3,3,422,27,"1/02","","O","Local","3",12572709
"47",100,"AVON","RD","",10,5,5,685,28,"11/01","2001","O","Local","3",12581144
"48",100,"AVONDALE","PL","",4,2,3,561,25,"1/02","","F","Local","4",12577635
"49",100,"BAKER","AVE","",8,4,4,605,27,"12/01","1997","F","Local","6",12577267
"50",100,"BALDWIN","AVE","",8,4,5,1007,27,"1/01","1991","O","Local","3",12571994
"51",100,"BALL","CIR","",6,3,4,1031,26,"1/02","","O","Local","3",12576912
"52",100,"BALLANTYNE","RD","",5,2,4,805,31,"1/02","1990","F","Local","4",13028538
"53",100,"BALLANTYNE","RD","",5,2,4,805,31,"1/02","1990","F","Local","4",12576746
"54",100,"BALLARD","AVE","",5,4,2,375,NA,"1/01","","O","Local","3",12573229
"55",100,"BARKER","AVE","",10,5,5,178,30,"10/01","2001","O","Local","3",12573771
"56",100,"BARNES","AVE","",7,3,5,317,27,"1/02","1991","O","Local","3",12571902
"57",100,"BARNES","AVE","",7,3,5,317,27,"1/02","1991","O","Local","3",12571901
