"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",0,"KINGSLEY","PL","",5,3,3,606,0,"6/04","","","Local","",12572861
"2",100,"ABERDEEN","TER","",5,2,3,530,22,"12/07","1988","O","Local","3",12581174
"3",100,"ACADEMY","PL","",5,3,3,588,28,"3/07","","O","Local","3",12576512
"4",100,"ACADEMY","ST","",7,4,5,325,25,"3/07","1996","O","Local","3",12571714
"5",100,"ADAMS","ST","E",8,4,5,176,64,"3/07","2000","F","Local","6",12577644
"6",100,"ADAMS","ST","W",7,3,4,352,64,"3/07","2000","F","Local","6",12573680
"7",100,"AINSLEY","DR","",6,4,3,411,26,"12/07","","F","CO","3",12576911
"8",100,"AINSLEY","DR","",6,4,3,411,26,"12/07","","F","CO","3",12576914
"9",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12572942
"10",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12572940
"11",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12571891
"12",100,"ALBERT","RD","",5,3,4,327,27,"12/07","","O","Local","3",12578942
"13",100,"ALDEN","ST","",6,3,3,792,26,"12/07","1989","O","Local","3",12576956
"14",100,"ALEXANDER","AVE","",2,2,1,686,27,"3/08","","F","Local","4",12577333
"15",100,"ALMOND","ST","",6,3,4,150,54,"12/07","1993","F","Local","6",12578006
"16",100,"ALMOND","ST","",6,3,4,150,54,"12/07","1993","F","Local","6",12577993
"17",100,"ALTON","ST","",8,5,4,1050,25,"3/08","2002","O","Local","3",13002170
"18",100,"ALTON","ST","",8,5,4,1050,25,"3/08","2002","O","Local","3",13011484
"19",100,"ALVORD","ST","S",5,3,3,352,32,"12/06","1987","F","Local","6",12580079
"20",100,"AMES","AVE","",5,3,3,323,26,"12/07","","O","Local","3",12571734
"21",100,"AMHERST","AVE","",9,5,5,557,25,"12/07","2005","F","Local","4",12576881
"22",100,"AMIDON","DR","",5,2,4,250,27,"3/07","1994","F","Local","4",13002105
"23",100,"AMY","ST","",6,3,5,792,27,"3/08","1994","O","Local","3",12573417
"24",100,"ANDERSON","AVE","",8,4,4,1150,25,"12/07","1999","O","Local","3",12576600
"25",100,"ANDOVER","RD","",8,4,5,323,21,"12/07","","O","Local","3",12577527
"26",100,"ARCH","ST","",6,3,4,546,18,"12/06","2002","O","Local","3",12581146
"27",100,"ARCHER","RD","",7,4,4,845,28,"3/08","1999","O","Local","3",12572325
"28",100,"ARDEN","DR","",8,4,5,323,28,"3/08","2001","O","Local","3",12571869
"29",100,"ARDMORE","PL","",6,3,3,317,21,"2/08","1998","O","Local","3",12580665
"30",100,"ARDMORE","PL","",6,3,3,317,21,"2/08","1998","O","Local","3",12580667
"31",100,"ARGONNE","DR","",4,2,3,247,26,"3/08","1985","O","Local","3",12572899
"32",100,"ARGYLE","AVE","",5,2,5,175,22,"2/08","1989","O","Local","3",12580767
"33",100,"ARGYLE","TER","",8,5,5,360,25,"12/07","2005","F","Local","3",12573198
"34",100,"ARLINGTON","AVE","",5,2,3,350,36,"3/07","1994","F","Local","6",12572035
"35",100,"ARMSTRONG","PL","",7,3,4,1330,27,"12/07","1995","O","Local","3",12571903
"36",100,"ARNTS","PL","",6,3,3,686,28,"2/07","1998","O","Local","3",12575521
