"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1","100","ABERDEEN","TER","","7","3","4","530",22,"12/00","1988","O","Local",3,12581174
"2","100","ACADEMY","PL","","6","3","3","588",28,"1/01","","O","Local",3,12576512
"3","100","ACADEMY","ST","","8","4","5","325",25,"1/01","1996","O","Local",3,12571714
"4","100","ADAMS","ST","E","10","5","5","176",64,"1/01","2000","F","Local",6,12577644
"5","100","ADAMS","ST","W","10","3","4","352",64,"1/01","2000","F","Local",6,12573680
"6","100","AINSLEY","DR","","8","4","4","411",26,"12/99","","F","CO",3,12576911
"7","100","AINSLEY","DR","","8","4","4","411",26,"12/99","","F","CO",3,12576914
"8","100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12572942
"9","100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12571891
"10","100","ALANSON","RD","","3","1","3","880",18,"12/99","","F","Local",3,12572940
"11","100","ALBERT","RD","","8","3","5","327",27,"12/99","","O","Local",3,12578942
"12","100","ALDEN","ST","","6","3","4","792",26,"12/99","1989","","Local",3,12576956
"13","100","ALEXANDER","AVE","","4","2","3","686.4",27,"1/01","","F","Local",4,12577333
"14","100","ALMOND","ST","","7","3","4","150",54,"3/00","1993","F","Local",6,12577993
"15","100","ALMOND","ST","","7","3","4","150",54,"3/00","1993","F","Local",6,12578006
"16","100","ALTON","ST","","6","3","4","1050",25,"12/99","","","Local",3,13002170
"17","100","ALTON","ST","","6","3","4","1050",25,"12/99","","","Local",3,13011484
"18","100","ALVORD","ST","S","6","3","4","352",32,"12/99","1987","F","Local",6,12580079
"19","100","AMES","AVE","","8","4","5","323",26,"12/99","","O","Local",3,12571734
"20","100","AMHERST","AVE","","5","2","3","557",25,"1/01","","F","Local",4,12576881
"21","100","AMIDON","DR","","7","3","4","250",27,"1/01","1994","","Local",4,13002105
"22","100","AMY","ST","","7","3","4","792",27,"1/01","1994","","Local",3,12573417
"23","100","ANDERSON","AVE","","10","5","5","1150",25,"12/99","1999","O","Local",3,12576600
"24","100","ANDOVER","RD","","8","4","5","323",21,"12/99","","","Local",6,12577527
"25","100","ARCH","ST","","7","3","4","546",18,"12/00","","O","Local",3,12581146
"26","100","ARCHER","RD","","10","5","5","844.8",28,"12/99","1999","","Local",3,12572325
"27","100","ARDEN","DR","","6","3","4","323",28,"12/99","","","Local",3,12571869
"28","100","ARDMORE","PL","","8","4","4","317",21,"12/00","1998","O","Local",3,12580665
"29","100","ARDMORE","PL","","8","4","4","317",21,"12/00","1998","O","Local",3,12580667
"30","100","ARGONNE","DR","","6","3","3","247",26,"12/99","1985","","Local",3,12572899
"31","100","ARGYLE","AVE","","6","3","4","175",22,"1/00","1989","O","Local",3,12580767
"32","100","ARGYLE","TER","","4","2","4","360",25,"12/99","1994","F","Local",3,12573198
"33","100","ARLINGTON","AVE","","5","3","3","350",36,"1/01","1994","F","Local",6,12572035
