"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",0,"KINGSLEY","PL","",5,3,3,606,0,"6/04","","","Local","",12572861
"2",100,"ABERDEEN","TER","",7,3,5,530,22,"3/06","1988","O","Local","3",12581174
"3",100,"ACADEMY","PL","",5,3,3,588,28,"3/07","","O","Local","3",12576512
"4",100,"ACADEMY","ST","",7,4,5,325,25,"3/07","1996","O","Local","3",12571714
"5",100,"ADAMS","ST","E",8,4,5,176,64,"3/07","2000","F","Local","6",12577644
"6",100,"ADAMS","ST","W",7,3,4,352,64,"3/07","2000","F","Local","6",12573680
"7",100,"AINSLEY","DR","",6,4,3,411,26,"2/06","","F","CO","3",12576911
"8",100,"AINSLEY","DR","",6,4,3,411,26,"2/06","","F","CO","3",12576914
"9",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12572942
"10",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12571891
"11",100,"ALANSON","RD","",9,5,5,880,18,"3/07","2004","F","Local","6",12572940
"12",100,"ALBERT","RD","",6,3,5,327,27,"3/06","","O","Local","3",12578942
"13",100,"ALDEN","ST","",6,3,3,792,26,"2/06","1989","O","Local","3",12576956
"14",100,"ALEXANDER","AVE","",2,2,1,686,27,"3/06","","F","Local","4",12577333
"15",100,"ALMOND","ST","",6,3,4,150,54,"2/06","1993","F","Local","6",12578006
"16",100,"ALMOND","ST","",6,3,4,150,54,"2/06","1993","F","Local","6",12577993
"17",100,"ALTON","ST","",8,5,4,1050,25,"1/06","2002","O","Local","3",13002170
"18",100,"ALTON","ST","",8,5,4,1050,25,"1/06","2002","O","Local","3",13011484
"19",100,"ALVORD","ST","S",5,3,3,352,32,"12/06","1987","F","Local","6",12580079
"20",100,"AMES","AVE","",5,3,4,323,26,"1/06","","O","Local","3",12571734
"21",100,"AMHERST","AVE","",10,5,5,557,25,"11/05","2005","F","Local","4",12576881
"22",100,"AMIDON","DR","",5,2,4,250,27,"3/07","1994","F","Local","4",13002105
"23",100,"AMY","ST","",5,3,3,792,27,"2/06","1994","O","Local","3",12573417
"24",100,"ANDERSON","AVE","",7,4,3,1150,25,"2/06","1999","O","Local","3",12576600
"25",100,"ANDOVER","RD","",8,4,5,323,21,"2/06","","O","Local","3",12577527
"26",100,"ARCH","ST","",6,3,4,546,18,"12/06","2002","O","Local","3",12581146
"27",100,"ARCHER","RD","",8,4,5,845,28,"1/06","1999","O","Local","3",12572325
"28",100,"ARDEN","DR","",8,4,5,323,28,"1/06","2001","O","Local","3",12571869
"29",100,"ARDMORE","PL","",6,3,3,317,21,"2/07","1998","O","Local","3",12580667
"30",100,"ARDMORE","PL","",6,3,3,317,21,"2/07","1998","O","Local","3",12580665
"31",100,"ARGONNE","DR","",4,2,2,247,26,"1/06","1985","O","Local","3",12572899
"32",100,"ARGYLE","AVE","",7,3,5,175,22,"2/06","1989","O","Local","3",12580767
"33",100,"ARGYLE","TER","",10,5,5,360,25,"11/05","2005","F","Local","3",12573198
"34",100,"ARLINGTON","AVE","",5,2,3,350,36,"3/07","1994","F","Local","6",12572035
"35",100,"ARMSTRONG","PL","",7,3,3,1330,27,"1/06","1995","O","Local","3",12571903
"36",100,"ARNTS","PL","",6,3,3,686,28,"2/07","1998","O","Local","3",12575521
"37",100,"ARSENAL","DR","",5,2,4,495,18,"3/07","1996","O","Local","3",12576562
"38",100,"ASH","ST","",7,4,3,411,30,"2/07","1999","F","Local","6",12575114
"39",100,"ASHDALE","AVE","",6,4,4,716,27,"3/06","1988","O","Local","3",12581076
"40",100,"ASHWORTH","PL","",5,4,2,600,27,"2/06","1991","F","Local","6",12578137
"41",100,"ATKINSON","AVE","",8,4,4,739,23,"1/06","","O","Local","3",12572894
"42",100,"ATLANTIC","AVE","",7,3,4,NA,NA,"3/07","","O","Local","3",12576699
"43",100,"AUSTIN","AVE","",8,5,3,1637,23,"1/06","2003","O","Local","3",12572328
"44",100,"AVERY","AVE","S",6,3,4,455,36,"3/07","1996","F","CO","6",13010365
"45",100,"AVERY","AVE","S",6,3,4,455,36,"3/07","1996","F","CO","6",12572698
"46",100,"AVERY","AVE","S",6,3,4,455,36,"3/07","1996","F","CO","6",13010364
"47",100,"AVOCA","ST","",5,2,3,422,27,"2/06","","O","Local","3",12572709
"48",100,"AVON","RD","",7,3,5,685,28,"3/06","2001","O","Local","3",12581144
"49",100,"AVONDALE","PL","",8,5,3,561,25,"12/06","2002","F","Local","4",12577635
"50",100,"BAKER","AVE","",8,4,3,605,27,"3/06","1997","F","Local","6",12577267
"51",100,"BALDWIN","AVE","",6,4,2,1007,27,"3/07","1991","O","Local","3",12571994
"52",100,"BALL","CIR","",5,3,3,1031,26,"2/06","","O","Local","3",12576912
"53",100,"BALLANTYNE","RD","",8,4,5,805,31,"3/07","2004","F","Local","4",12576746
"54",100,"BALLANTYNE","RD","",8,4,5,805,31,"3/07","2004","F","Local","4",13028538
"55",100,"BALLARD","AVE","",4,4,2,375,NA,"2/06","","O","Local","3",12573229
"56",100,"BARKER","AVE","",5,3,5,178,30,"2/06","2001","O","Local","3",12573771
"57",100,"BARNES","AVE","",6,3,4,317,27,"3/07","1991","O","Local","3",12571902
"58",100,"BARNES","AVE","",6,3,4,317,27,"3/07","1991","O","Local","3",12571901
"59",100,"BARRINGTON","RD","",7,3,5,411,30,"12/06","1996","O","Local","3",12579593
"60",100,"BASIN","ST","",8,5,3,455,30,"3/07","2004","F","Local","4",12575165
"61",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",13017590
"62",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",12578207
"63",100,"BASSETT","ST","",10,5,5,411,27,"7/06","2006","F","Local","3",12578184
"64",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",13017590
"65",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",12578207
"66",100,"BASSETT","ST","",10,5,5,616,27,"7/06","2006","F","Local","3",12578184
"67",100,"BEACON","RD","",8,4,5,264,28,"2/06","2001","F","Local","6",12581052
"68",100,"BEACON","RD","",8,4,5,264,28,"2/06","2001","F","Local","6",12581056
"69",100,"BEAR","ST","W",6,3,3,411,36,"2/06","","F","MA","6",12575201
"70",100,"BEAR","ST","W",6,3,3,411,36,"2/06","","F","MA","6",13001193
"71",100,"BEAR","ST","W",6,3,3,411,36,"2/06","","F","MA","6",12575203
"72",100,"BEARD","AVE","E",5,3,2,528,25,"3/06","1991","F","Local","6",12577248
"73",100,"BEARD","AVE","E",5,3,2,528,25,"3/06","1991","F","Local","6",12577247
"74",100,"BEARD","AVE","W",5,3,2,587,28,"1/07","1996","F","Local","6",12577235
"75",100,"BEARD","PL","",5,3,3,581,12,"3/06","1993","F","Local","4",12577242
"76",100,"BEATTIE","ST","",5,3,3,900,22,"12/06","1988","O","Local","6",12578830
"77",100,"BEATTIE","ST","",5,3,3,900,22,"12/06","1988","O","Local","6",12578829
"78",100,"BEAUMONT","PL","",4,2,4,293,35,"3/06","1988","O","Local","3",12578937
"79",100,"BEAUMONT","PL","",4,2,4,293,35,"3/06","1988","O","Local","3",13011132
"80",100,"BECKER","ST","",7,3,5,300,19,"2/07","2002","O","Local","3",12580216
"81",100,"BEECH","ST","S",8,4,5,381,30,"1/06","2003","F","Local","6",12578261
"82",100,"BEECH","ST","S",8,4,5,381,30,"1/06","2003","F","Local","6",12578258
"83",100,"BEECHER","ST","",8,4,4,590,25,"2/06","1999","F","Local","6",12580084
"84",100,"BEECHER","ST","",8,4,4,590,25,"2/06","1999","F","Local","6",13012342
"85",100,"BEECHER","ST","",8,4,4,590,25,"2/06","1999","F","Local","6",12580077
"86",100,"BELLE","AVE","",5,3,2,1504,24,"3/07","","O","Local","3",12576721
"87",100,"BELLEVUE","AVE","",6,3,3,352,30,"3/07","1992","F","CO","6",12573312
"88",100,"BELLEVUE","AVE","",6,3,3,352,30,"3/07","1992","F","CO","6",12573326
"89",100,"BELLSHIRE","LN","",9,5,5,400,28,"1/06","1997","O","Local","3",12575550
"90",100,"BENDER","ST","",6,3,5,211,22,"2/07","1998","O","Local","3",12580651
"91",100,"BENEDICT","AVE","",5,2,4,739,24,"2/06","1985","O","Local","3",12576899
"92",100,"BENEDICT","AVE","",5,2,4,739,24,"2/06","1985","O","Local","3",12577312
"93",100,"BENNINGTON","DR","",5,2,4,528,27,"3/07","1985","F","Local","6",12576753
"94",100,"BERGER","AVE","",7,3,4,1262,25,"3/07","1991","O","Local","3",12571996
"95",100,"BERKELEY","DR","",8,4,5,367,32,"12/06","2000","F","Local","6",13011307
"96",100,"BERKELEY","DR","",8,4,5,367,32,"12/06","2000","F","Local","6",13017688
"97",100,"BERKELEY","DR","",8,4,5,367,32,"12/06","2000","F","Local","6",12577560
"98",100,"BERKSHIRE","AVE","",5,3,2,909,27,"2/06","","F","Local","6",12580624
"99",100,"BERTRAM","PL","",8,4,4,1060,28,"3/07","2004","O","Local","3",12572064
"100",100,"BERTRAM","PL","",8,4,4,1060,28,"3/07","2004","O","Local","3",12572061
"101",100,"BERTRAM","PL","",8,4,4,1060,28,"3/07","2004","O","Local","3",12572066
"102",100,"BERWYN","AVE","",6,3,3,634,22,"2/06","","O","Local","3",12577307
"103",100,"BEVERLY","RD","",4,3,1,898,24,"3/06","","F","Local","4",12573141
"104",100,"BISHOP","AVE","",4,2,2,690,30,"1/06","","F","Local","6",12572116
"105",100,"BISSELL","ST","E",6,3,3,898,23,"2/06","1990","O","Local","3",12573177
"106",100,"BISSELL","ST","W",7,3,4,686,24,"2/06","1990","O","Local","3",12573172
"107",100,"BLAINE","ST","",2,2,1,634,25,"3/06","1985","F","Local","6",12573332
"108",100,"BLOSSOM","RD","",5,2,2,429,26,"3/06","1996","O","Local","3",12578748
"109",100,"BOISE","DR","",10,5,5,265,24,"7/06","2006","F","Local","6",12576976
"110",100,"BORDEN","AVE","E",4,3,2,550,33,"3/07","1991","F","Local","6",12577250
"111",100,"BORDEN","AVE","W",10,5,5,585,27,"11/05","2005","F","Local","6",12577243
"112",100,"BOSTON","ST","",6,4,4,290,26,"3/06","1985","O","Local","3",12581282
"113",100,"BOYDEN","ST","",5,2,3,615,27,"12/06","1985","F","Local","6",12580373
"114",100,"BRACE","ST","",10,5,5,581,21,"11/05","2005","O","Local","3",12575519
"115",100,"BRADFORD","LN","",8,4,3,718,29,"3/06","2000","O","Local","3",12578544
"116",100,"BRADFORD","PKWY","",7,4,4,1027,36,"12/06","2000","F","Local","6",12578571
"117",100,"BRADFORD","PKWY","",7,4,4,1027,36,"12/06","2000","F","Local","6",13011009
