"","block","streetName","streetType","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","class","pavement","streetID"
"1",100,"ABERDEEN","TER","","8","4","4","530",22,"12/98","1988","","Local","3",12581174
"2",100,"ACADEMY","PL","","8","4","5","588",28,"12/99","","O","Local","3",12576512
"3",100,"ACADEMY","ST","","9","5","5","325",25,"12/98","1996","O","Local","3",12571714
"4",100,"ADAMS","ST","E","6","4","2","176",64,"3/00","","","Local","6",12577644
"5",100,"ADAMS","ST","W","7","3","4","352",64,"2/00","","","Local","6",12573680
"6",100,"AINSLEY","DR","","8","4","4","411",26,"12/99","","","CO","3",12576914
"7",100,"AINSLEY","DR","","8","4","4","411",26,"12/99","","","CO","3",12576911
"8",100,"ALANSON","RD","","3","1","3","880",18,"12/99","","","Local","3",12572942
"9",100,"ALANSON","RD","","3","1","3","880",18,"12/99","","","Local","3",12572940
"10",100,"ALANSON","RD","","3","1","3","880",18,"12/99","","","Local","3",12571891
"11",100,"ALBERT","RD","","8","3","5","327",27,"12/99","","","Local","3",12578942
"12",100,"ALDEN","ST","","6","3","4","792",26,"12/99","1989","","Local","3",12576956
"13",100,"ALEXANDER","AVE","","4","2","3","686.4",27,"12/98","","","Local","4",12577333
"14",100,"ALMOND","ST","","7","3","4","150",54,"3/00","1993","","Local","6",12578006
"15",100,"ALMOND","ST","","7","3","4","150",54,"3/00","1993","","Local","6",12577993
"16",100,"ALTON","ST","","6","3","4","1050",25,"12/99","","","Local","3",13011484
"17",100,"ALTON","ST","","6","3","4","1050",25,"12/99","","","Local","3",13002170
"18",100,"ALVORD","ST","S","6","3","4","352",32,"12/99","1987","","Local","6",12580079
"19",100,"AMES","AVE","","8","4","5","323",26,"12/99","","O","Local","3",12571734
"20",100,"AMHERST","AVE","","5","2","3","557",25,"12/98","","","Local","4",12576881
"21",100,"AMIDON","DR","","7","4","4","250",27,"12/98","1994","","Local","4",13002105
"22",100,"AMY","ST","","8","4","4","792",27,"12/98","1994","","Local","3",12573417
"23",100,"ANDERSON","AVE","","10","5","5","1150",25,"12/99","1999","O","Local","3",12576600
"24",100,"ANDOVER","RD","","8","4","5","323",21,"12/99","","","Local","6",12577527
"25",100,"ARCH","ST","","7","3","4","546",18,"12/98","","","Local","3",12581146
"26",100,"ARCHER","RD","","10","5","5","844.8",28,"12/99","1999","","Local","3",12572325
"27",100,"ARDEN","DR","","6","3","4","323",28,"12/99","","","Local","3",12571869
"28",100,"ARDMORE","PL","","10","5","5","317",21,"12/98","1998","","Local","3",12580667
"29",100,"ARDMORE","PL","","10","5","5","317",21,"12/98","1998","","Local","3",12580665
"30",100,"ARGONNE","DR","","6","3","3","247",26,"12/99","1985","","Local","3",12572899
"31",100,"ARGYLE","AVE","","6","3","4","175",22,"1/00","1989","","Local","3",12580767
"32",100,"ARGYLE","TER","","4","2","4","686.4",25,"12/99","1994","","Local","3",12573198
"33",100,"ARLINGTON","AVE","","5","3","3","350",36,"12/98","1994","","Local","6",12572035
"34",100,"ARMSTRONG","PL","","8","4","5","1330",27,"12/99","1995","O","Local","3",12571903
"35",100,"ARNETT","AVE","","8","4","5","381",30,"12/98","1992","","Local","3",12581038
"36",100,"ARNETT","AVE","","8","4","5","381",30,"12/98","1992","","Local","3",12581036
"37",100,"ARNETT","AVE","","8","4","5","381",30,"12/98","1992","","Local","3",13012319
"38",100,"ARNTS","PL","","10","5","5","686.4",28,"12/98","1998","","Local","3",12575521
"39",100,"ARSENAL","DR","","9","5","5","495",17.5,"12/98","1996","O","Local","3",12576562
"40",100,"ASH","ST","","10","5","5","411",30,"12/99","1999","","Local","6",12575114
"41",100,"ASHDALE","AVE","","8","4","4","716",27,"12/98","1988","","Local","3",12581076
"42",100,"ASHWORTH","PL","","7","4","3","600",27,"3/00","1991","","Local","6",12578137
"43",100,"ATKINSON","AVE","","5","2","3","739.2",23,"12/99","","","Local","3",12572894
"44",100,"ATLANTIC","AVE","","doesn't","intersect","ct Atla","No Houses",NA,"ntic","","","Local","3",12576699
"45",100,"AUSTIN","AVE","","6","3","4","1636.8",23,"12/99","1990","","Local","3",12572328
"46",100,"AVERY","AVE","S","9","5","5","455",36,"12/98","1996","","CO","6",13010365
"47",100,"AVERY","AVE","S","9","5","5","455",36,"12/98","1996","","CO","6",12572698
"48",100,"AVERY","AVE","S","9","5","5","455",36,"12/98","1996","","CO","6",13010364
"49",100,"AVOCA","ST","","5","3","2","422.4",27,"2/00","","","Local","3",12572709
"50",100,"AVON","RD","","6","3","4","686.4",27,"12/98","1993","","Local","3",12581144
"51",100,"AVONDALE","PL","","5","3","3","561",25,"12/99","","","Local","4",12577635
"52",100,"BAKER","AVE","","8","5","4","605",27,"12/99","1997","","Local","6",12577267
"53",100,"BALDWIN","AVE","","7","4","4","1007",27,"12/98","1991","O","Local","3",12571994
"54",100,"BALL","CIR","","7","4","3","1031",26,"12/99","","O","Local","3",12576912
"55",100,"BALLANTYNE","RD","","5","2","3","805",31,"12/99","1990","","Local","4",13028538
"56",100,"BALLANTYNE","RD","","5","2","3","805",31,"12/99","1990","","Local","4",12576746
"57",100,"BALLARD","AVE","","6","4","2","375",NA,"12/98","","","Local","",12573229
"58",100,"BARKER","AVE","","2","1","4","581",30,"3/00","1990","","Local","2",12573771
"59",100,"BARNES","AVE","","8","4","5","317",27,"12/99","1991","O","Local","3",12571902
"60",100,"BARNES","AVE","","8","4","5","317",27,"12/99","1991","O","Local","3",12571901
"61",100,"BARRINGTON","RD","","8","5","3","411",30,"12/98","1996","","Local","3",12579593
"62",100,"BASIN","ST","","4","2","3","455",30,"2/00","","","Local","4",12575165
"63",100,"BASSETT","ST","","5","3","3","411",27,"12/98","","","Local","3",12578184
"64",100,"BASSETT","ST","","5","3","3","411",27,"12/98","","","Local","3",12578207
"65",100,"BASSETT","ST","","5","3","3","411",27,"12/98","","","Local","3",13017590
"66",100,"BEACON","RD","","6","3","4","264",28,"12/98","","","Local","6",12581052
"67",100,"BEACON","RD","","6","3","4","264",28,"12/98","","","Local","6",12581056
"68",100,"BEAR","ST","W","6","4","3","411",36,"2/00","","","MA","6",12575201
"69",100,"BEAR","ST","W","6","4","3","411",36,"2/00","","","MA","6",13001193
"70",100,"BEAR","ST","W","6","4","3","411",36,"2/00","","","MA","6",12575203
"71",100,"BEARD","AVE","E","6","4","3","528",25,"12/99","1991","","Local","6",12577248
"72",100,"BEARD","AVE","E","6","4","3","528",25,"12/99","1991","","Local","6",12577247
"73",100,"BEARD","AVE","W","8","5","3","587",28,"12/98","1996","","Local","6",12577235
"74",100,"BEARD","PL","","6","4","2","580.8",12,"12/99","1993","","Local","4",12577242
"75",100,"BEATTIE","ST","","7","3","4","900",22,"12/98","1988","","Local","6",12578829
"76",100,"BEATTIE","ST","","7","3","4","900",22,"12/98","1988","","Local","6",12578830
"77",100,"BEAUMONT","PL","","6","2","4","293",35,"12/99","1988","","Local","3",13011132
"78",100,"BEAUMONT","PL","","6","2","4","293",35,"12/99","1988","","Local","3",12578937
"79",100,"BECKER","ST","","5","3","4","300",19,"1/00","","","Local","3",12580216
"80",100,"BEECH","ST","S","5","3","3","381",30,"12/98","1983","","Local","6",12578261
"81",100,"BEECH","ST","S","5","3","3","381",30,"12/98","1983","","Local","6",12578258
"82",100,"BEECHER","ST","","10","5","5","590",25,"12/99","1999","","Local","6",12580077
"83",100,"BEECHER","ST","","10","5","5","590",25,"12/99","1999","","Local","6",12580084
"84",100,"BEECHER","ST","","10","5","5","590",25,"12/99","1999","","Local","6",13012342
"85",100,"BELLE","AVE","","7","3","4","1504",24,"12/98","","O","Local","3",12576721
"86",100,"BELLEVUE","AVE","","7","3","4","352",30,"'11/99","1992","","CO","6",12573326
"87",100,"BELLEVUE","AVE","","7","3","4","352",30,"'11/99","1992","","CO","6",12573312
"88",100,"BELLSHIRE","LN","","9","5","5","400",28,"12/99","1997","","Local","3",12575550
"89",100,"BENDER","ST","","10","5","5","211",22,"12/98","1998","","Local","3",12580651
"90",100,"BENEDICT","AVE","","5","2","3","739.2",24,"12/99","1985","","Local","3",12576899
"91",100,"BENEDICT","AVE","","5","2","3","739.2",24,"12/99","1985","","Local","3",12577312
"92",100,"BENNINGTON","DR","","6","3","4","528",27,"12/98","1985","","Local","6",12576753
"93",100,"BERGER","AVE","","7","4","4","1262",25,"12/98","1991","O","Local","3",12571996
"94",100,"BERKELEY","DR","","3","2","2","367",32,"12/99","","","Local","6",13011307
"95",100,"BERKELEY","DR","","3","2","2","367",32,"12/99","","","Local","6",13017688
"96",100,"BERKELEY","DR","","3","2","2","367",32,"12/99","","","Local","6",12577560
"97",100,"BERKSHIRE","AVE","","6","3","4","909",27,"1/00","","","Local","3",12580624
"98",100,"BERTRAM","PL","","6","3","4","1060",28,"12/98","","O","Local","3",12572066
"99",100,"BERTRAM","PL","","6","3","4","1060",28,"12/98","","O","Local","3",12572061
"100",100,"BERTRAM","PL","","6","3","4","1060",28,"12/98","","O","Local","3",12572064
"101",100,"BERWYN","AVE","","6","3","4","633.6",22,"12/99","","","Local","3",12577307
"102",100,"BEVERLY","RD","","4","2","2","897.6",24,"12/99","","","Local","4",12573141
"103",100,"BISHOP","AVE","","6","3","3","690",30,"11/99","","","Local","6",12572116
"104",100,"BISSELL","ST","E","7","3","4","897.6",23,"12/99","1990","","Local","3",12573177
"105",100,"BISSELL","ST","W","7","4","4","686.4",24,"12/99","1990","","Local","3",12573172
"106",100,"BLAINE","ST","","5","2","3","633.6",25,"12/98","1985","","Local","6",12573332
"107",100,"BLOSSOM","RD","","9","5","5","429",26,"12/98","1996","","Local","3",12578748
"108",100,"BOISE","DR","","5","4","3","265",24,"12/99","","","Local","6",12576976
"109",100,"BORDEN","AVE","E","7","4","4","550",33,"12/98","1991","","Local","6",12577250
"110",100,"BORDEN","AVE","W","8","5","4","585",27,"12/98","1996","","Local","6",12577243
"111",100,"BOSTON","ST","","8","4","5","290",25.5,"12/98","1985","","Local","3",12581282
"112",100,"BOYDEN","ST","","6","3","3","615",27,"12/98","1985","","Local","6",12580373
"113",100,"BRACE","ST","","6","3","4","580.8",21,"12/99","","","Local","3",12575519
"114",100,"BRADFORD","LN","","4","2","3","718",29,"12/99","","","Local","3",12578544
"115",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",13013253
"116",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",13011009
"117",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",12578743
"118",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",13011010
"119",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",12578571
"120",100,"BRADFORD","PKWY","","4","2","3","1027",36,"12/99","","","Local","6",13013251
"121",100,"BRADFORD","ST","","8","4","5","554",25,"12/99","","O","Local","3",12571775
"122",100,"BRADLEY","ST","","7","4","4","350",24,"12/99","","","Local","3",12573075
"123",100,"BRAMPTON","RD","","7","3","4","1056",24.5,"12/98","","O","Local","3",12576521
"124",100,"BRATTLE","RD","","7","3","4","880",20,"12/99","1990","","Local","6",13010278
"125",100,"BRIGGS","ST","","6","3","4","909",25,"1/00","","","Local","3",12580630
"126",100,"BRIGHTON","AVE","E","7","4","4","528",35,"12/98","","","PA","6",12576856
"127",100,"BRIGHTON","AVE","W","5","3","3","484",30,"5/99","","","Local","6",12576812
"128",100,"BRIGHTON","AVE","W","5","3","3","484",30,"5/99","","","Local","6",12576813
"129",100,"BRISTOL","PL","","5","3","2","380",25,"12/99","","","Local","6",12578170
"130",100,"BROAD","ST","","6","3","4","440",36,"12/99","1988","","CO","6",12577532
"131",100,"BROADVIEW","DR","","7","3","4","500",24,"12/99","1994","","Local","3",12572178
"132",100,"BRONSON","ST","","8","4","5","338",27,"12/98","","O","Local","3",12576507
"133",100,"BRONX","AVE","","6","3","4","320",23,"1/00","","","Local","3",12580485
"134",100,"BRONX","AVE","","6","3","4","320",23,"1/00","","","Local","3",12580482
"135",100,"BROOKFORD","RD","","8","4","4","616",34.5,"12/99","1992","","Local","6",12578742
"136",100,"BROOKFORD","RD","","8","4","4","616",34.5,"12/99","1992","","Local","6",13013255
"137",100,"BROOKLEA","DR","","8","4","4","314",30,"12/98","","O","Local","3",12576492
"138",100,"BROOKLEA","PL","","7","3","5","997",26,"12/98","","O","Local","3",12576515
"139",100,"BROOKSIDE","DR","","8","4","5","158",NA,"12/98","","","Local","3",12564359
"140",100,"BROWN","ST","","6","3","3","792",16,"2/00","","","Local","3",13001365
"141",100,"BRUCE","ST","","6","3","3","500",25.5,"12/99","","","Local","6",12578793
"142",100,"BRUCE","ST","","6","3","3","500",25.5,"12/99","","","Local","6",12578797
"143",100,"BRYANT","AVE","","10","5","5","546",24,"12/99","1999","","Local","6",12573398
"144",100,"BUCKINGHAM","AVE","","10","5","5","800",30,"12/98","1998","","Local","6",12577554
"145",100,"BUCKINGHAM","AVE","","10","5","5","800",30,"12/98","1998","","Local","6",12577549
"146",100,"BUCKINGHAM","AVE","","10","5","5","800",30,"12/98","1998","","Local","6",12577606
"147",100,"BUNGALOW","TER","","6","2","4","633.6",25,"12/99","1990","","Local","3",12572338
"148",100,"BURDICK","AVE","","7","4","3","733",23,"12/99","","","Local","3",12575525
"149",100,"BURLINGAME","RD","","7","3","4","960",18,"12/99","","","Local","3",13016716
"150",100,"BURLINGAME","RD","","7","3","4","960",18,"12/99","","","Local","3",13009825
"151",100,"BURNET","AVE","","10","5","5","733",34,"12/99","1999","","MA","6",12577921
"152",100,"BURNET","AVE","","10","5","5","733",34,"12/99","1999","","MA","6",12577920
"153",100,"BURNET PARK","DR","","6","3","4","325",27,"12/98","","","Local","6",12572729
"154",100,"BURNET PARK","DR","","6","3","4","325",27,"12/98","","","Local","6",12572727
"155",100,"BURNS","AVE","","8","4","4","484",26,"12/98","1989","","Local","3",12581280
"156",100,"BURT","ST","","4","3","2","337",30,"12/99","","","MA","6",12577368
"157",100,"BURTEN","ST","","7","3","5","264",25,"12/99","","","Local","3",12576954
"158",100,"BUTLER","ST","","7","4","4","528",26,"12/99","1994","","Local","3",12576961
"159",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",12575109
"160",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",12573973
"161",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",13001290
"162",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",13001176
"163",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",12575108
"164",100,"BUTTERNUT","ST","","7","4","4","1500",27,"12/98","","","MA","6",13001163
"165",100,"BYRNE","PL","","6","3","4","603",24.5,"12/98","","O","Local","3",12576551
"166",100,"BYRNE","PL","","6","3","4","603",24.5,"12/98","","O","Local","3",12576553
"167",100,"CADILLAC","ST","","10","5","5","3009.6",26,"12/98","1998","","Local","3",13012488
"168",100,"CADILLAC","ST","","10","5","5","3009.6",26,"12/98","1998","","Local","3",12580563
"169",100,"CADWELL","ST","","8","4","5","686.4",32,"12/98","1994","","Local","3",12573086
"170",100,"CALEB","AVE","","8","4","5","1500",27,"12/98","","","Local","",13001428
"171",100,"CALTHROP","AVE","E","6","4","3","211.2",30,"12/98","1990","","Local","4",12576774
"172",100,"CALTHROP","AVE","W","10","5","5","1210",25,"12/99","1999","","Local","6",12576769
"173",100,"CALVIN","RD","","7","3","4","633.6",26,"12/95","","","Local","3",12571867
"174",100,"CAMP","AVE","","9","5","5","575",28,"12/98","1996","O","Local","3",12571771
"175",100,"CANNON","ST","","6","3","3","1150",24,"12/99","","","Local","6",12576836
"176",100,"CARBON","ST","","5","3","2","2300",36,"1/00","","","Local","6",12580109
"177",100,"CARLISLE","ST","","5","2","4","528",25,"1/00","","","Local","4",12575300
"178",100,"CARLTON","DR","","8","5","4","1111",29,"12/99","1996","","Local","3",12578950
"179",100,"CARLTON","DR","","8","5","4","1111",29,"12/99","1996","","Local","3",13011134
"180",100,"CARLTON","RD","","6","3","3","639",27,"1/99","","","Local","3",12571873
"181",100,"CATAWBA","ST","","6","3","3","1003.2",42,"2/00","1987","","Local","6",13018246
"182",100,"CATAWBA","ST","","6","3","3","1003.2",42,"2/00","1987","","Local","6",12575118
"183",100,"CATAWBA","ST","","6","3","3","1003.2",42,"2/00","1987","","Local","6",12575167
"184",100,"CATAWBA","ST","","6","3","3","1003.2",42,"2/00","1987","","Local","6",12575122
"185",100,"CATHERINE","ST","","8","5","5","1950",30,"12/98","","","Local","",12578010
"186",100,"CAYUGA","ST","","6","3","4","660",31,"3/00","1995","","Local","3",13010436
"187",100,"CAYUGA","ST","","6","3","4","660",31,"3/00","1995","","Local","3",12572830
"188",100,"CAYUGA","ST","","6","3","4","660",31,"3/00","1995","","Local","3",13010437
"189",100,"CENTRAL","AVE","","6","2","4","316.8",16,"2/00","","","Local","3",12573584
"190",100,"CHAFFEE","AVE","E","8","4","4","1064",27,"12/98","1991","O","Local","3",12576516
"191",100,"CHAFFEE","AVE","E","8","4","4","1064",27,"12/98","1991","O","Local","3",12571710
"192",100,"CHAFFEE","AVE","E","8","4","4","1064",27,"12/98","1991","O","Local","3",12576518
"193",100,"CHAFFEE","AVE","E","8","4","4","1064",27,"12/98","1991","O","Local","3",12576514
"194",100,"CHAMPLIN","DR","","7","3","4","600",23,"12/98","1989","","Local","3",12581127
"195",100,"CHANNING","PL","","9","5","5","220",23,"12/98","1995","O","Local","3",12576552
